"year","quarter","bf_mod_jp3_value","bmi_value","fat_mass_value","ffm_value","ffmi_std_value","hip_value","waist_value","bf_mod_jp3_deriv","bmi_deriv","fat_mass_deriv","ffm_deriv","ffmi_std_deriv","hip_deriv","waist_deriv","bf_mod_jp3_change","bmi_change","fat_mass_change","ffm_change","ffmi_std_change","hip_change","waist_change"
2013,"Q1",0.215166419873943,25.1770493728245,15.0055258132617,56.0390455010563,20.5871039898867,97,84.1174762686931,-0.000876888656503857,0.0153959280979592,-0.0383065390992723,0.0834792399499484,0.0295773951069833,0,0.0603808635623011,NA,NA,NA,NA,NA,NA,NA
2013,"Q2",0.228721469337774,25.3702404861989,16.4311510169029,55.3504467475419,20.3431276741574,96.3845432316923,88.7761077748585,-0.00168437951736664,-0.0114532976874635,-0.143816179087459,0.0472264007252221,0.0167327100075152,-0.048141643379644,-0.0956576426778639,0.0135550494638307,0.193191113374404,1.42562520364117,-0.688598753514341,-0.243976315729267,-0.615456768307723,4.65863150616536
2013,"Q3",0.201979483112953,24.6952947845805,14.0779699729728,55.6220300270272,20.4393519086689,92.5,87.5,0.000388918634425459,0.00343791857358156,0.0345705908528204,0.00253326099904072,0.000897555626085733,0.0246019429075304,-0.0431238042808602,-0.0267419862248208,-0.674945701618416,-2.35318104393009,0.271583279485291,0.0962242345114852,-3.88454323169228,-1.2761077748585
2013,"Q4",0.200835796131606,25.8330183925422,14.6434863089439,58.2676248021672,21.3767083341012,94,87.5555555555556,-0.000987020693620444,-0.0201758944318478,-0.0832806224342608,0.0263361779898119,0.00933112882293052,0,-0.284722222222236,-0.00114368698134704,1.13772360796168,0.565516335971115,2.64559477514,0.937356425432291,1.50000000000001,0.0555555555555571
2014,"Q1",0.20722550173706,25.246556054578,15.1285489660641,57.8649479077509,21.2340365319412,94,88.9399763389519,0.000135699513390125,-0.00668202938151019,0.0104607424827901,-0.00793167657759852,-0.00281025955839098,0,0.00397837565660097,0.00638970560545427,-0.586462337964139,0.485062657120148,-0.402676894416274,-0.142671802160013,-1.4210854715202e-14,1.38442078339634
2014,"Q2",0.219918549416867,25.3510814484079,16.0983347396554,57.0869598819288,20.9583888470552,94.8054474283113,90.6545478908611,0.000137784968497159,0.0035207146101861,0.0103922116088135,-0.0089446104351083,-0.00316915052264122,0.0144989102125592,0.0291875926929066,0.0126930476798063,0.104525393829899,0.969785773591308,-0.777988025822097,-0.275647684885957,0.805447428311339,1.71457155190917
2014,"Q3",0.231411429587561,25.6914748173652,16.9435914849201,56.2688636848093,20.6685305005701,95.9269610166363,92.9454095664254,0.000106455502027925,0.00334567299912081,0.00751173057637899,-0.00861282608718739,-0.00305159654449483,0.0060302093379363,0.0133464589940786,0.0114928801706946,0.340393368957219,0.845256745264695,-0.818096197119516,-0.289858346485076,1.121513588325,2.29086167556437
2014,"Q4",0.236018845734734,25.8459112811791,17.2176441177615,55.7298558822385,20.4775555138317,94.324,89.7685,0.000520676696770889,0.0496031746031775,0.0712504687602049,0.0687495312397957,0.0243585357283891,0.186,0.150666666666673,0.00460741614717244,0.154436463813965,0.274052632841414,-0.539007802570801,-0.190974986738475,-1.60296101663631,-3.17690956642544
2015,"Q1",0.221355414450014,26.1189485319734,16.3457977224767,57.0628811999067,20.9498575679942,95.5,92.9344005931585,0.000129777866718819,0.00672545688187398,0.0141941366539555,0.00487582652031904,0.00172754624444416,0,0.0254706811979304,-0.0146634312847199,0.273037250794289,-0.871846395284784,1.33302531766818,0.472302054162519,1.17599999999996,3.1659005931585
2015,"Q2",0.239850065473901,26.8232469545806,18.1834318267649,57.4200471845117,21.0764044729705,95.5,94.7381232941868,0.000204340366150496,0.00710182553384442,0.0197823165465962,0.00319994020590642,0.00113376566252299,0,0.0153742583913754,0.0184946510238869,0.704298422607195,1.83763410428817,0.357165984605047,0.126546904976262,1.4210854715202e-14,1.80372270102829
